user_name,user_followers,vid_id,vid_caption,vid_postTime,vid_scrapeTime,vid_duration,vid_nview,vid_nlike,vid_ncomment,vid_nshare,vid_nsave,vid_hashtags,vid_url,music_id,music_title,music_nused,music_authorName,music_originality
suyphimhay,106.2K,7485002211647360274,Tán gái mượt như sunsilk :)),2025-03-23 13:51:22,2025-05-14 09:33:39,01:12,,280.9K,1604,11K,10.1K,"mai, phuonganhdao, tuantran, phimvietnam, filmtok, movietok, galaxyplay",https://www.tiktok.com/@suyphimhay/video/7485002211647360274,6777624195661563906,In Love With You,1.5M videos,,false
minasieee_7,33.3K,7503099765639499016,": con ko cần đi đâu hết ở yên đó đi, mẹ tới quét sạch nhà chồng của con rồi đưa con về",2025-05-11 08:19:07,2025-05-14 09:33:52,00:22,1.5M,134.4K,1126,4191,11.5K,"lathudinhmenh, phimthonhiky, phimhay, xuhuong, viral, fyp",https://www.tiktok.com/@minasieee_7/video/7503099765639499016,7503099794764647185,nhạc nền - Mina💫,226 videos,Mina💫,false
ghedoson,67.6K,7473119164018838802,Trời nồm này giặt đến khi nào mới khô 🤣🤣🤣,2025-02-19 13:19:05,2025-05-14 09:34:05,00:37,2.6M,72.1K,2099,7348,2279,,https://www.tiktok.com/@ghedoson/video/7473119164018838802,,nhạc nền  - Ghẹ Shop,,,
dn0821real,12.8K,7476900077416533255,Khi Mà Cái Top 3 Người Không Phải Cái Top Mạnh Nhất 🦈🔥,2025-03-01 17:50:57,2025-05-14 09:34:15,02:07,7.3M,201K,3962,7132,7911,"billow, lienquanmobile_garena, lienquanmobile, dn0821real",https://www.tiktok.com/@dn0821real/video/7476900077416533255,7434946522162432769,原声 - 爱音乐🎵,5194 videos,爱音乐🎵,false
yenthichanvat,1M,7487068077511806213,Nghiệp chướng :V,2025-03-29 03:27:59,2025-05-14 09:34:27,00:55,11M,403.8K,5364,19.3K,26.8K,"yenthichanvat, nghiepchuong",https://www.tiktok.com/@yenthichanvat/video/7487068077511806213,,nhạc nền  - Lê Bảo,,,
nhuw_cutii6,49.1K,7490456309058391302,cre:anhmoney,2025-04-07 06:36:03,2025-05-14 09:34:37,03:59,592.1K,8684,128,396,1429,"nhuw_cutii6💤, xhh, xhhh💙❄️",https://www.tiktok.com/@nhuw_cutii6/video/7490456309058391302,7490456421193059127,nhạc nền - 𝙔𝙚𝙣𝙉𝙝𝙪𝙬 💤,1 videos,𝙔𝙚𝙣𝙉𝙝𝙪𝙬 💤,false
alquizar.04,8305,7484623219673074952,Eh? eh? ehhh????,2025-03-22 13:20:41,2025-05-14 09:34:50,00:09,22.6M,1.1M,3323,76.9K,36.2K,"rotcofficer💂🇵🇭, pafr, pafr, highlight, fyp",https://www.tiktok.com/@alquizar.04/video/7484623219673074952,7445662174703651601,original sound - jnrs🎀👊🏻,14.7K videos,jnrs^^,false
yenyencuttine,135.9K,7502371495742852370,Bay màu nhưng vẫn thèm xoài 🤭,2025-05-09 09:13:04,2025-05-14 09:35:03,01:02,1.2M,42.9K,749,1175,2777,,https://www.tiktok.com/@yenyencuttine/video/7502371495742852370,7358689760417696528,nhạc nền - đức_anh2013,27.8K videos,đứcah,false
quachtuanank,28.3K,7492043422509845778,"Ngày 30.4.1975 . Ngày non sông nối liền một dải, Bắc Nam sum họp một nhà 🇻🇳",2025-04-11 13:14:52,2025-05-14 09:35:15,00:28,6.1M,855.6K,4447,46.8K,60.8K,"oldtownroad, qdndvn, 30thang4, lichsuvietnam, vietnamtoiyeu, xuhuongtiktok, fyp, viralvideo, capcut",https://www.tiktok.com/@quachtuanank/video/7492043422509845778,7414085193814379280,nhạc nền - Tân Thịnh,11K videos,mẫu capcut cháy :))),false
beatvn_viralworld,4.7M,7479137515501358352,Các anh pháp sư đã test là biết uy tín rồi =))),2025-03-07 18:33:21,2025-05-14 09:35:28,00:52,,181.3K,1700,3611,6128,"beatviralworld, beatnetwork, bnetwork, beatvn, beatoflife",https://www.tiktok.com/@beatvn_viralworld/video/7479137515501358352,7479137798390287120,nhạc nền - Beatvn Viral World,1 videos,Beatvn Viral World,false
kt.uye,74K,7496148234209955090,FAKE ALL | hậu phương của trần hạo nam,2025-04-22 14:43:38,2025-05-14 09:35:42,01:54,2.4M,132.4K,454,4211,7483,"tieuman58💚, haonam, nz_faiqeing, 婕珍qien_team, hry🐰, xuhuong, xh, xh, xh",https://www.tiktok.com/@kt.uye/video/7496148234209955090,7496148266984819472,nhạc nền - 𝙆𝙩𝙪𝙮𝙩,7 videos,𝙆𝙩𝙪𝙮𝙩,false
kheang,1.7M,7487171261223718152,,2025-03-29 10:08:23,2025-05-14 09:35:54,00:11,,236K,832,2178,8599,,https://www.tiktok.com/@kheang/video/7487171261223718152,7475407812337306385,เสียงต้นฉบับ - PE&PO  🚬,30.4K videos,PE&PO  🚬,false
_t.nza06_,16.4K,7475652255031512338,wo ai nò bản 2,2025-02-26 09:08:46,2025-05-14 09:36:06,00:15,,426K,5735,20K,23.5K,trending,https://www.tiktok.com/@_t.nza06_/video/7475652255031512338,7290135034126666498,nhạc nền - TIGER BRO REMIX,139.4K videos,TIGER BRO REMIX,false
naruto0919,13.8M,7496489402135317761,Nah.. again 😏,2025-04-23 12:47:32,2025-05-14 09:36:19,00:14,,472.9K,32.6K,306K,40K,"fingerdance, blooper",https://www.tiktok.com/@naruto0919/video/7496489402135317761,6747973294072400641,幻昼,194.5K videos,Cindy👄,false
thy.hoa936,41.2K,7489324694424849719,Top 10 tên con gái độc lạ và quý hiếm nhất Việt Nam🇻🇳 Các bạn đã gặp qua bao giờ chưa?😎,2025-04-04 05:24:49,2025-05-14 09:36:33,00:34,739.1K,22.1K,11.2K,2214,1243,xuhuong,https://www.tiktok.com/@thy.hoa936/video/7489324694424849719,7489324723957254917,nhạc nền - Thúy Hoa🌹,17 videos,Phan Quốc Phát 🌹,false
truongdiencutevl,2786,7500157515020258578,tr tr cưng z,2025-05-03 10:01:41,2025-05-14 09:36:45,00:16,729.4K,13.3K,304,345,1282,"xhhhhhhhhhhhhhhhhhhhhhhhhhhhhh, xhhhhhhhhhhhhhhhhhhhhhhh, xuhuongtiktok, douyin_china, truongdiendien, zhangdian🐰🌷💗, truongdiencutephomaique",https://www.tiktok.com/@truongdiencutevl/video/7500157515020258578,7500157538697104144,nhạc nền - Zhang Dian🐰,11 videos,Zhang Dian🐰,false
pangpang_2k4,38K,7483490689733512456,,2025-03-19 12:05:54,2025-05-14 09:36:57,00:07,,151.4K,211,1473,5728,钟进康,https://www.tiktok.com/@pangpang_2k4/video/7483490689733512456,7379541139403197185,nhạc nền - Dễ thương nhất tiktok mặc gì?,14.6K videos,Gu Của Tao 💃✨,false
crystalzoe,53.4K,7500696549547150599,Anh đã đột nhập vào máy ảnh của em và em đã nhấn mãi mãi Đừng để tình yêu phai nhạt,2025-05-04 20:53:25,2025-05-14 09:37:10,00:18,3.4M,158K,395,1092,8651,,https://www.tiktok.com/@crystalzoe/video/7500696549547150599,7500696608955239185,nhạc nền - crystal,110 videos,crystal ✅,false
hamtv.1,2.8M,7485716829755739400,Con riêng kẹp tóc bồ nhí vào cửa xe ô tô để cảnh báo bố duợng ngoại tình và cái kết p1,2025-03-25 12:04:27,2025-05-14 09:37:22,01:26,1.3M,13.7K,162,1044,851,"eyeplusmedia, sitcom, cxkri, hamtv",https://www.tiktok.com/@hamtv.1/video/7485716829755739400,,Chuyện Xưa Kể Rằng - Instrumental (feat. Nunu O2O) - Mon Hoàng Anh P336,,,
namvaly,22.1K,7497578446994836744,Móc chăn len tặng người yêu,2025-04-26 11:13:35,2025-05-14 09:37:32,01:04,5.6M,213.6K,2034,15K,11.8K,"couple, namvaly",https://www.tiktok.com/@namvaly/video/7497578446994836744,,nhạc nền  - Nam Và Ly,,,
phuongtrinh241226,268.2K,7484556739975728391,Bụng mình hơi dãn đợi mình chút🤡,2025-03-22 09:02:43,2025-05-14 09:37:41,00:38,,14.2K,207,293,898,"freefire, freefire_lover, freefirethofficial, tun",https://www.tiktok.com/@phuongtrinh241226/video/7484556739975728391,7484556787161615121,nhạc nền - Phương Trinh🪼,2 videos,Phương Trinh🪼,false
