user_name,user_nfollower,vid_id,vid_caption,vid_postTime,vid_scrapeTime,vid_duration,vid_nview,vid_nlike,vid_ncomment,vid_nshare,vid_nsave,vid_hashtags,vid_url,music_id,music_title,music_nused,music_authorName,music_originality
00.25.d,196.4K,7484638492971044103,This era 😫,2025-03-22 14:19:57,2025-06-05 11:10:06,00:38,,431,0,6,42,"lyrics, lyricsvideo, lyrics_songs, musicvideos, lyricsmusic, lyricsedits, lyricsedit, kenlyrics, edits, fyp, foryou, foryoupage",https://www.tiktok.com/@00.25.d/video/7484638492971044103,6715938281680291841,Roses (feat. ROZES),41.1K videos,The Chainsmokers|ROZES,false
00.25.d,196.4K,7484774454355070215,russian roulette,2025-03-22 23:07:33,2025-06-05 11:10:27,00:20,,146,1,4,8,"lyrics, lyricsvideo, lyrics_songs, musicvideos, lyricsmusic, lyricsedits, lyricsedit, edits, kenlyrics, fyp, foryou, foryoupage",https://www.tiktok.com/@00.25.d/video/7484774454355070215,7320292247806969857,RUSSIAN ROULETTE(I ADORE U),8705 videos,millkzy,false
00.25.d,196.4K,7484865455476247815,Are you falling in love?,2025-03-23 05:00:41,2025-06-05 11:10:46,00:12,,418,4,3,70,"lyrics, lyricsvideo, lyrics_songs, musicvideos, lyricsmusic, lyricsedits, lyricsedit, edits, kenlyrics, fyp, foryou, foryoupage",https://www.tiktok.com/@00.25.d/video/7484865455476247815,7334882837757397766,a new kind of love,14.7K videos,Elldzs★,false
00.25.d,196.4K,7485130103257648391,B.E.D,2025-03-23 22:07:39,2025-06-05 11:11:01,00:16,,209,2,13,30,"jacquees, lyrics, lyricsvideo, lyrics_songs, musicvideos, lyricsmusic, lyricsedits, lyricsedit, edits, kenlyrics, fyp, foryou, foryoupage",https://www.tiktok.com/@00.25.d/video/7485130103257648391,7150985542157617946,เสียงต้นฉบับ - Thai lyrics,136.2K videos,𝐓𝐇𝐀𝐈 𝐋𝐘𝐑𝐈𝐂𝐒,false
00.25.d,196.4K,7485226535616564487,sparks coldplay,2025-03-24 04:21:52,2025-06-05 11:11:16,00:20,,379,2,18,39,"coldplay, lyrics, lyricsvideo, lyrics_songs, musicvideos, lyricsmusic, lyricsedits, lyricsedit, edits, kenlyrics, fyp, foryou, foryoupage",https://www.tiktok.com/@00.25.d/video/7485226535616564487,6711175901154904065,Sparks,503.2K videos,coldplay,false
00.25.d,196.4K,7485394032831565074,she looks just like a dream😫,2025-03-24 15:11:50,2025-06-05 11:11:34,00:14,,2512,19,194,366,"lyrics, lyricsvideo, lyrics_songs, musicvideos, lyricsmusic, lyricsedits, lyricsedit, edits, kenlyrics, fyp, foryou, foryoupage",https://www.tiktok.com/@00.25.d/video/7485394032831565074,7285428021817854726,som original,90.5K videos,stella,false
00.25.d,196.4K,7485521694392651016,too good to say goodbye,2025-03-24 23:27:14,2025-06-05 11:11:48,00:27,,753,6,41,65,"brunomars, lyrics, lyricsvideo, lyrics_songs, musicvideos, lyricsmusic, lyricsedits, lyricsedit, edits, kenlyrics, fyp, foryou, foryoupage",https://www.tiktok.com/@00.25.d/video/7485521694392651016,165060144786161664,Too Good To Say Goodbye,20.5K videos,Bruno Mars,false
00.25.d,196.4K,7485656188982480136,slow dancing in the dark,2025-03-25 08:09:08,2025-06-05 11:12:06,00:38,,17K,21,439,1871,"joji, lyrics, lyricsvideo, lyrics_songs, musicvideos, lyricsmusic, lyricsedits, lyricsedit, edits, kenlyrics, fyp, foryou, foryoupage",https://www.tiktok.com/@00.25.d/video/7485656188982480136,7477770854164695813,som original,10.7K videos,️,false
00.25.d,196.4K,7485753732676979986,titibo titibo,2025-03-25 14:27:39,2025-06-05 11:12:20,00:22,,177,6,9,13,"lyrics, lyricsvideo, lyrics_songs, musicvideos, lyricsmusic, lyricsedits, lyricsedit, edits, kenlyrics, fyp, foryou, foryoupage",https://www.tiktok.com/@00.25.d/video/7485753732676979986,7047356882537089818,Use this sound if you think raven is hot n pretty,43.7K videos,r,false
00.25.d,196.4K,7485877986097515783,My love for you 😫🥰,2025-03-25 22:29:49,2025-06-05 11:12:38,00:26,,472,4,36,57,"lyrics, lyricsvideo, lyrics_songs, musicvideos, lyricsmusic, lyricsedits, lyricsedit, edits, kenlyrics, fyp, foryou, foryoupage",https://www.tiktok.com/@00.25.d/video/7485877986097515783,7370616328081901584,Love For You,206.5K videos,LOVELI LORI|ChanXeng Ci🇰🇵,false
