user_name,user_followers,vid_id,vid_caption,vid_postTime,vid_scrapeTime,vid_duration,vid_nview,vid_nlike,vid_ncomment,vid_nshare,vid_nsave,vid_hashtags,vid_url,music_id,music_title,music_nused,music_authorName,music_originality
dinhkhanh2072,479,7500910283649486088,,2025-05-05 10:42:49,2025-05-15 14:53:36,00:09,2.3M,93K,657,4950,2582,"xuhuongtiktok, emvoianhaychilaban, buitrongnghia2005",https://www.tiktok.com/@dinhkhanh2072/video/7500910283649486088,7.354259524011806e+18,Mixset bồng bềnh vol 5,29.6K videos,VN New Track,False
meta_anisloxg7,75.5K,7474411742047620360,Hasaki nè😡,2025-02-23 00:54:56,2025-05-15 14:53:49,00:19,1.5M,55.1K,1062,14.5K,4209,"cheems, viral, fyp, aligntmotion, foryou, animation, trending, meme",https://www.tiktok.com/@meta_anisloxg7/video/7474411742047620360,7.474411927029321e+18,nhạc nền - Meta_anisLoxg7,55 videos,Meta_anisLoxg7,True
cartops9999,589.3K,7490150468916645175,"Vào thời điểm này, bạn đã hiểu được ý nghĩa của tuổi trẻ và triển vọng chưa?",2025-04-06 10:49:14,2025-05-15 14:54:04,00:15,,264.9K,1863,10.4K,19.2K,lamborghini,https://www.tiktok.com/@cartops9999/video/7490150468916645175,7.490150478442368e+18,nhạc nền - CarTops Utra HD 4K,44 videos,CarTops Utra HD 4K,False
vanty_204,27.1K,7482597151223139605,bạn thân ơi xâm chiếm phi phaii,2025-03-17 02:18:30,2025-05-15 14:54:24,00:22,1.3M,92.3K,1788,9966,5574,"freefire, vanty",https://www.tiktok.com/@vanty_204/video/7482597151223139605,7.25493463073753e+18,nhạc nền - Thuyseo🦪,12K videos,𝒎𝒂𝒊 𝒕𝒉𝒖ý🦪,False
solai.28,1.2M,7500559187693309191,Anh xoè đôi bàn tay trắng,2025-05-04 12:00:23,2025-05-15 14:54:40,00:22,9.2M,310.8K,10.2K,6762,18.2K,solai,https://www.tiktok.com/@solai.28/video/7500559187693309191,7.498246397150449e+18,nhạc nền - vô tri cùng za vy 😏,10.4K videos,vô tri cùng za vy 😏,False
melayu.takraw,79.7K,7471959916333387026,😳😳,2025-02-16 10:20:36,2025-05-15 14:54:55,00:18,42.8M,700.6K,1743,12.2K,24.8K,melayutakraw,https://www.tiktok.com/@melayu.takraw/video/7471959916333387026,7.471959948382293e+18,เสียงต้นฉบับ - Melayu Takraw,14 videos,Melayu Takraw,False
quocdung833,127.9K,7472374490387778817,,2025-02-17 13:09:22,2025-05-15 14:55:10,00:10,,804.9K,15K,428.8K,51.9K,,https://www.tiktok.com/@quocdung833/video/7472374490387778817,7.472374624106352e+18,nhạc nền - Quốc Dũng,170 videos,Quốc Dũng,False
whah1307,34.1K,7502599584691014920,bản năng của người làm cha mẹ,2025-05-09 23:58:10,2025-05-15 14:55:25,02:23,746.3K,87.3K,293,1017,5911,"migianddali, whah1307",https://www.tiktok.com/@whah1307/video/7502599584691014920,7.293412303402552e+18,nhạc nền - 𝙏𝙝𝙖𝙣𝙝𝙎𝙥𝙚𝙚𝙙𝙎𝙤𝙣𝙜🎶,9388 videos,MPhúc ADR🔥🔥,False
phmkhanhquc,3838,7486856588129520902,Trả lời,2025-03-28 13:47:18,2025-05-15 14:55:43,00:15,5.4M,72.2K,4674,6906,2996,"flypシ, xuhuong, giaitri, tuoithocuatoi, daphinhpokemon",https://www.tiktok.com/@phmkhanhquc/video/7486856588129520902,,nhạc nền  - Thu trà shopp,,,
nguyentphu,352.3K,7499345442262633735,,2025-05-01 05:30:26,2025-05-15 14:55:54,00:15,2.3M,104.5K,16.4K,162.8K,6287,nguyentphu,https://www.tiktok.com/@nguyentphu/video/7499345442262633735,7.495638380710612e+18,nhạc nền - đời lon,230 videos,Lee Minh Dien,False
rosieqtrungg,3665,7492428474997624082,Đua Đòi - Kính Vạn Bông 2 | Oppa Huy Idol | Nhìn cách anh ta nói và hành động:)),2025-04-12 14:09:04,2025-05-15 14:56:08,01:04,1.1M,31.1K,350,1074,2924,"oppahuyidol, quangtrung, khanhha, hydua, kienrung, duyendeo, tuyenpoi🌿, oppahuyentertainment, teamoppahuymaidinh❤️‍🔥💞, kinhvanbong, xh, xhtiktok, fyp, fyppppppppppppppppppppppp",https://www.tiktok.com/@rosieqtrungg/video/7492428474997624082,7.49242850541511e+18,nhạc nền - 🫧🪩-Rosie QTrunG-🪩🫧,4 videos,🫧𝙍𝙤𝙨𝙞𝙚 𝙊𝙥𝙥𝙖 𝙃𝙪𝙮💠,False
nguyenanhstudio,81.3K,7488575094927772934,Peter là gì vậy mn 🤕🤕💦🤓🤡,2025-04-02 04:55:59,2025-05-15 14:56:21,00:14,,34.1K,146,4160,1192,"bongchuyen, nguyenanhstudio, anhbivietnam, vtvcab, virusss, peter",https://www.tiktok.com/@nguyenanhstudio/video/7488575094927772934,7.488575098283576e+18,nhạc nền - Nguyen Anh,1 videos,Nguyen Anh,False
hi5020350,3707,7472646077775105298,lý do mấy đứa gần trương luôn đi học muộn:,2025-02-18 06:43:16,2025-05-15 14:56:35,01:11,3.8M,275.9K,5768,82.4K,11.5K,,https://www.tiktok.com/@hi5020350/video/7472646077775105298,,nhạc nền  - .....,,,
vfuho_,908.4K,7473942044973534486,Build a Dream 2-Story Villa with Mini Bricks & a Stunning Pool View!,2025-02-21 18:32:16,2025-05-15 14:56:47,01:33,17M,428.2K,4156,23.4K,33.2K,"vfuho, miniature, diy",https://www.tiktok.com/@vfuho_/video/7473942044973534486,7.473942044161117e+18,nhạc nền - VFuho Official,25 videos,,False
,,7499830293117832456,,2025-05-02 12:51:54,2025-05-15 14:57:01,,,96,,,,,,,,,,
memehaihuoc166,23.6K,7499830293117832456,,2025-05-02 12:51:54,2025-05-15 14:57:49,00:09,2.3M,99.4K,896,40.1K,6066,"meme, funnyvideos, trending, fyp, xuhuong",https://www.tiktok.com/@memehaihuoc166/video/7499830293117832456,7.499830320801336e+18,nhạc nền - memehaihuoc,22 videos,Sách tri thức,False
zero.juro,71K,7481247960446012690,🤴🤴☠️,2025-03-13 11:02:57,2025-05-15 14:58:03,01:10,,125.2K,633,2487,12.9K,"luffy, raleigh, anime, วันพีช, onepiece, fyp, foryou",https://www.tiktok.com/@zero.juro/video/7481247960446012690,7.481247992368893e+18,original sound - Zoro juro,65 videos,Zoro juro,False
mechinhtri133,74K,7484115313945087240,"Những hình ảnh siuu dthương,gần gũi của các bác🥰🇻🇳 *Lưu ý:vd chỉ mang tính chất giải trí.",2025-03-21 04:29:45,2025-05-15 14:58:18,00:22,6.3M,537.9K,5367,30.7K,55.1K,"nguyenphutrong, bactrongmuonnam🥰🥰🥰, phamminhchinh, thutuongphamminhchinh, tolam, tbttolam, vovanthuong, vuongdinhhue, chutichquochoivuongdinhhue, tranthanhman, vietnamtoiyeu, chinhtrivietnam, viral, xh, xuhuong2025",https://www.tiktok.com/@mechinhtri133/video/7484115313945087240,7.484115346450894e+18,nhạc nền - Cẩm Túúᥫᩣ,773 videos,Cẩm Túúᥫᩣ,False
