user_name,user_followers,vid_id,vid_caption,vid_postTime,vid_scrapeTime,vid_duration,vid_nview,vid_nlike,vid_ncomment,vid_nshare,vid_nsave,vid_hashtags,vid_url,music_id,music_title,music_nused,music_authorName,music_originality
nguoiyeulichsu,297.3K,7493014458147638535,Để mà nói về cầm lái Mic17 thì không ai qua nổi Bác Bảy nhà ta,2025-04-14 04:02:59,2025-05-16 03:46:54,00:21,5M,218.5K,1265,2628,9463,"vietnam, lichsuvietnam, nguoiyeulichsu",https://www.tiktok.com/@nguoiyeulichsu/video/7493014458147638535,7492219506979359505,nhạc nền - Ng Nhat Anh,15.1K videos,Ng Nhat Anh,false
thaimhg,24.8K,7481951268873784583,dạo nì cũng thân thiết vs nhau hơn,2025-03-15 08:32:09,2025-05-16 03:47:15,00:08,4M,325.4K,675,22.8K,5440,pamyeuoi,https://www.tiktok.com/@thaimhg/video/7481951268873784583,7433696786403183361,original sound - 音乐馆🎶,1.8M videos,音乐馆🎶,false
khanhtrn2,290.8K,7487439794931322118,,2025-03-30 03:30:26,2025-05-16 03:47:35,00:11,,130.3K,864,21.2K,2792,,https://www.tiktok.com/@khanhtrn2/video/7487439794931322118,7118930110685711130,SHOUT OUT x BLANK SPACE,192.3K videos,C_M2261,false
_tradangditam,3.5M,7502003836551171346,lấy gì giờ 🌝,2025-05-08 09:26:21,2025-05-16 03:47:57,00:16,8.3M,410.4K,1046,4051,9401,,https://www.tiktok.com/@_tradangditam/video/7502003836551171346,,nhạc nền  - Bích Tiên🫣,,,
minhhien.boutique,541.4K,7485602799326121237,T đợi ngày này lâu lắm rồi,2025-03-25 04:41:57,2025-05-16 03:48:12,00:15,14.8M,471.5K,5795,30.8K,17.2K,"minhhienboutique, lytungduong",https://www.tiktok.com/@minhhien.boutique/video/7485602799326121237,,nhạc nền  - 𝚜𝚘 𝚜𝚊𝚍 𝚌𝚞̛̣𝚌 𝚖𝚊̣𝚗𝚑,,,
hungloe22,401K,7486487919641939208,mũ em đội 🥹,2025-03-27 13:56:41,2025-05-16 03:48:25,00:47,3M,168.9K,945,20.8K,5708,,https://www.tiktok.com/@hungloe22/video/7486487919641939208,7473122756705143553,nhạc nền - duyqiaa.,5865 videos,user12093920001,false
chang0000,9.3M,7485711977575238930,Có muộn trend chưa ạ 👉👈,2025-03-25 11:45:37,2025-05-16 03:48:42,00:14,3.5M,218K,1037,2752,9239,,https://www.tiktok.com/@chang0000/video/7485711977575238930,7481506469150591760,原声 - YOUKU Vietnam,18K videos,YOUKU Vietnam,false
dailysmile007,1.1M,7469978541547998496,MAY 5 SECONDS KA PARA NGUMITI Parte 520  #MASAYA #NGITI #mikhalim #dailysmile007 #tiktokshop.philippin #foryou #fyp #fypシ,2025-02-11 02:11:51,2025-05-16 03:49:01,00:06,33.4M,488.4K,3755,110.1K,25.6K,,https://www.tiktok.com/@dailysmile007/video/7469978541547998496,7469978747115031328,nhạc nền - Daily Smile,145 videos,Daily Smile,false
thaobich_77,68.6K,7503200287553899784,Mọi ngừ yêu thương cho sam 1 lời chúc tốt đẹp nha ❤️❤️.                              11/5 ngày con được chào đời ❤️❤️.,2025-05-11 14:49:12,2025-05-16 03:49:18,00:54,16.4M,793.5K,17K,35.6K,23.3K,"nhatro, mebimxaykenh, xuhuong",https://www.tiktok.com/@thaobich_77/video/7503200287553899784,,nhạc nền  - Thảobích 77,,,
theanh28trending,7.6M,7484576660549831954,KHÔNG CÓ CAM NÓI KHÔNG AI TIN =)),2025-03-22 10:20:01,2025-05-16 03:49:32,00:25,,542.5K,13K,130.7K,26.4K,"theanh28, theanh28trending, tiktoknews, tiktokgiaitri",https://www.tiktok.com/@theanh28trending/video/7484576660549831954,,nhạc nền  - THEANH28 TRENDING,,,
