user_name,user_followers,vid_id,vid_caption,vid_postTime,vid_scrapeTime,vid_duration,vid_nview,vid_nlike,vid_ncomment,vid_nshare,vid_nsave,vid_hashtags,vid_url,music_id,music_title,music_nused,music_authorName,music_originality
baongochuynhquang3003,3.8M,7491678451204738311,hí hí nay đăng clip đều nha,2025-04-10 13:38:35,2025-05-15 01:16:46,00:21,7.1M,313.8K,1946,3259,9644,lehuynhbaongoc,https://www.tiktok.com/@baongochuynhquang3003/video/7491678451204738311,,nhạc nền  - Lê Huỳnh Bảo Ngọc,,,
baeboi_12,7416,7498831562436267282,Cập nhật tình hình Concert quốc gia.,2025-04-29 20:16:19,2025-05-15 01:16:57,00:26,21.5M,556.9K,20.4K,142.2K,31.1K,"xuhuongtiktok, viral",https://www.tiktok.com/@baeboi_12/video/7498831562436267282,7.498831594904456e+18,nhạc nền - 👻,13 videos,👻,False
unnph_,2721,7493372736618663186,,2025-04-15 03:13:17,2025-05-15 01:17:12,00:13,869.8K,21.5K,168,668,1062,xh,https://www.tiktok.com/@unnph_/video/7493372736618663186,7.493372772510125e+18,nhạc nền - vợ,297 videos,vợ,False
phuongmychiofficial,4M,7484125080608460050,Tụi nó quên quài….,2025-03-21 05:07:39,2025-05-15 01:17:25,00:05,10.7M,512.4K,4416,32.6K,22K,phuongmychi,https://www.tiktok.com/@phuongmychiofficial/video/7484125080608460050,7.348819256690544e+18,nhạc nền - Tui Là Cậu Hai,5240 videos,Trần Anh Kiều,False
dj.feliz1993,126.5K,7499286534219189512,cô gái mở đường ở The Gangs nên cũng phải Gangs luôn :)),2025-05-01 01:41:50,2025-05-15 01:17:44,00:54,10.2M,589.1K,3798,15.5K,31.6K,"thoruachenthegangs, fyp, fypシ゚, cogaimoduong, bailefunk, mashup, dj, djremix",https://www.tiktok.com/@dj.feliz1993/video/7499286534219189512,7.49928666964065e+18,original sound - Thợ rửa chén The Gangs,50 videos,Thợ rửa chén The Gangs,False
nguyenkhoibolero,514K,7482346037005389064,Lần đầu dùng mẹo dân gian trị ngứa chân  #shorts #haihuoc #funny #giaitri #haihuocvuinhon,2025-03-16 10:04:03,2025-05-15 01:17:58,01:00,,90K,126,1494,3752,"giaitrimoingay❤️❤️❤️, nguyenkhoibolero",https://www.tiktok.com/@nguyenkhoibolero/video/7482346037005389064,7.482346071067201e+18,nhạc nền - 🪴nguyên khôi bolero🪴🇻🇳🇨🇦,1 videos,🪴nguyên khôi bolero🪴🇻🇳🇨🇦,False
asunaa2004,74.1K,7499044971668983058,Cap không dễ bị bắt như bạn nghĩ,2025-04-30 10:04:27,2025-05-15 01:18:12,00:57,968.9K,19.3K,361,342,595,"lienquan, lienquanmobile, lienquanmobile_garena, xuhuong, asuna3t, fyp",https://www.tiktok.com/@asunaa2004/video/7499044971668983058,7.493375098213191e+18,nhạc nền - 𝗡𝗧𝗣 𝗩𝗜𝗡𝗔𝗛𝗢𝗨𝗦𝗘,563 videos,𝗡𝗧𝗣 𝗩𝗜𝗡𝗔𝗛𝗢𝗨𝗦𝗘,False
nan_nan175ii,405.4K,7494691208896253191,🤍,2025-04-18 16:29:38,2025-05-15 01:18:29,00:08,,1.1M,10.9K,29.7K,40.4K,"time_black🖤🥀, min_jiza✨🌈🌻, foryou, fypシ, fyp",https://www.tiktok.com/@nan_nan175ii/video/7494691208896253191,7.277184708130246e+18,សំឡេងដើម - 𝙋𝙃𝘼 𝙉𝙄𝙏🎟️ 𝗘𝗗𝗜𝗧🇰🇭,66.6K videos,PHANITH,False
zizi.day,52.1K,7495078422440365330,anh hối hận chưa,2025-04-19 17:32:13,2025-05-15 01:18:44,00:17,2.8M,217.3K,1247,15.9K,8635,,https://www.tiktok.com/@zizi.day/video/7495078422440365330,,nhạc nền - hoqqphuc - máy dập An Giang,,,
tuquy2ne,530.2K,7484858605531909392,Sự Nghiệp Chướng - Tứ Quý 2 ver,2025-03-23 04:34:06,2025-05-15 01:18:55,01:17,18.3M,1.1M,14.4K,161.5K,66.8K,"tiktokgiaitri, xuhuongtiktok, tuquy2, sunghiepchuong",https://www.tiktok.com/@tuquy2ne/video/7484858605531909392,,SỰ NGHIỆP CHƯỚNG - Pháo,,,
